user_id,session_type,status,condition,start_time,end_time,duration_seconds,total_messages,user_messages,assistant_messages,quiz_score,quiz_total,quiz_percentage,quiz_completed_time,survey_completed_time,avg_response_time,median_response_time,std_response_time,min_response_time,max_response_time,rapid_response_count,rapid_response_pct,has_both,avg_difficulty_correct,avg_difficulty_incorrect
A5Y2HAkGMmenqS1vZuPyOg721Ab2,recursion,completed,3.0,1769797610.6218646,1769799247.5525773,1636.93070602417,5.0,2.0,3.0,2.0,5.0,40.0,1769799222.242396,1769799247.407202,293.9659048318863,293.9659048318863,406.46019381614684,6.555145502090454,581.3766641616821,1.0,0.5,True,2.5,1.6666666666666667
Ap3pD2rpHsQCNW7UJLOZxuvXmtR2,arraylist,completed,2.0,1769187150.44492,1769187753.7237504,603.2788226604462,17.0,8.0,9.0,4.0,5.0,80.0,1769187693.688567,1769187753.60137,45.32906690239906,52.86183059215546,19.308352338385166,18.30674910545349,64.84008073806763,0.0,0.0,True,2.25,2.0
Ap3pD2rpHsQCNW7UJLOZxuvXmtR2,recursion,completed,2.0,1769792354.659986,1769792878.0927632,523.432765007019,19.0,9.0,10.0,5.0,5.0,100.0,1769792825.2678382,1769792877.9674473,45.65985054439969,60.75867462158203,26.601228866868638,6.879744291305542,75.10034990310669,1.0,0.1111111111111111,True,2.0,
Cw1J6bytlETCGP7iW7vknzWZwon1,arraylist,completed,1.0,1769194632.1481986,1769195066.010188,433.8619737625122,15.0,7.0,8.0,4.0,5.0,80.0,1769194991.4472942,1769195065.8745167,30.0742894921984,26.30681562423706,9.412834157752808,17.757633686065674,41.07309103012085,0.0,0.0,True,2.25,2.0
Cw1J6bytlETCGP7iW7vknzWZwon1,recursion,completed,1.0,1769799573.0026872,1769799948.1891758,375.1864778995514,27.0,13.0,14.0,4.0,5.0,80.0,1769799910.366686,1769799948.050523,20.217257022857666,18.14937424659729,15.146288604507934,3.1460022926330566,61.98483324050903,3.0,0.23076923076923078,True,1.75,3.0
Cy1bhEOuQfMnlNyCLBPA7vkrRmJ3,arraylist,completed,1.0,1769190921.452619,1769191602.9985845,681.5459547042847,17.0,8.0,9.0,4.0,5.0,80.0,1769191570.7113109,1769191602.8629715,67.24489578604698,67.7087082862854,45.4200556219821,10.59875774383545,145.84321784973145,0.0,0.0,True,2.25,2.0
Cy1bhEOuQfMnlNyCLBPA7vkrRmJ3,recursion,completed,1.0,1769795680.2789989,1769796143.964551,463.68554401397705,19.0,9.0,10.0,5.0,5.0,100.0,1769796111.3816557,1769796143.7856553,38.049606535169815,22.366303205490112,37.400135337063496,6.458758354187012,101.02039837837219,2.0,0.2222222222222222,True,2.0,
Drr17Zvgk1OAYiRiO5HB65aVP223,arraylist,completed,3.0,1769187756.1193051,1769188816.360792,1060.2414772510529,33.0,16.0,17.0,3.0,5.0,60.0,1769188716.25392,1769188816.2196116,46.71673667430878,45.32390642166138,25.22961627098448,7.946016073226929,85.66367936134338,2.0,0.125,False,2.3333333333333335,2.0
EFwq3AOMH7WLfBMBk8sUGzWOpo13,arraylist,completed,3.0,1769194649.789629,1769195586.7827582,936.9931128025056,63.0,34.0,29.0,2.0,5.0,40.0,1769195566.4254222,1769195586.6353145,17.314042540157544,15.488134503364563,11.658760562984508,1.577787160873413,56.582693099975586,9.0,0.2647058823529412,True,2.0,2.3333333333333335
EFwq3AOMH7WLfBMBk8sUGzWOpo13,recursion,completed,3.0,1769799499.0371077,1769800432.3429072,933.3057627677916,108.0,56.0,52.0,0.0,5.0,0.0,1769800416.3833876,1769800432.206289,7.207400798797607,6.395392179489136,4.432984996804262,1.4445009231567383,26.470806121826172,45.0,0.8035714285714286,True,,2.0
FBD4nXyHiTMSMBoY3sAwLJrAvzo2,arraylist,completed,1.0,1769126489.385165,1769126947.0169148,457.63172578811646,25.0,12.0,13.0,5.0,5.0,100.0,1769126911.466975,1769126946.85201,24.978783667087555,14.544598460197449,22.968119175642617,6.464985132217407,80.23561692237854,3.0,0.25,False,2.2,
